preprocessed_text,tokenized_text,lemmatized_text
love love love say paradise concentrate good food small place like one really,"['love', 'love', 'love', 'say', 'paradise', 'concentrate', 'good', 'food', 'small', 'place', 'like', 'one', 'really']","[ 'love ' , 'love ' , 'love ' , 'say ' , 'paradise ' , 'concentrate ' , 'good ' , 'food ' , 'small ' , 'place ' , 'like ' , 'one ' , 'really ' ]"
smell kill delicious food youll buy lot fantastic produce fair price,"['smell', 'kill', 'delicious', 'food', 'youll', 'buy', 'lot', 'fantastic', 'produce', 'fair', 'price']","[ 'smell ' , 'kill ' , 'delicious ' , 'food ' , 'youll ' , 'buy ' , 'lot ' , 'fantastic ' , 'produce ' , 'fair ' , 'price ' ]"
amazing selection cheese snack coffee syrup sort thing stock favourite peanut butter puff thank pleasant,"['amazing', 'selection', 'cheese', 'snack', 'coffee', 'syrup', 'sort', 'thing', 'stock', 'favourite', 'peanut', 'butter', 'puff', 'thank', 'pleasant']","[ 'amazing ' , 'selection ' , 'cheese ' , 'snack ' , 'coffee ' , 'syrup ' , 'sort ' , 'thing ' , 'stock ' , 'favourite ' , 'peanut ' , 'butter ' , 'puff ' , 'thank ' , 'pleasant ' ]"
probably favorite place eat cardiff every time go back visit family cardiff make point eating madame fromage,"['probably', 'favorite', 'place', 'eat', 'cardiff', 'every', 'time', 'go', 'back', 'visit', 'family', 'cardiff', 'make', 'point', 'eating', 'madame', 'fromage']","[ 'probably ' , 'favorite ' , 'place ' , 'eat ' , 'cardiff ' , 'every ' , 'time ' , 'go ' , 'back ' , 'visit ' , 'family ' , 'cardiff ' , 'make ' , 'point ' , 'eating ' , 'madame ' , 'fromage ' ]"
super excited try place ala inside one many arcade around area place like torn,"['super', 'excited', 'try', 'place', 'ala', 'inside', 'one', 'many', 'arcade', 'around', 'area', 'place', 'like', 'torn']","[ 'super ' , 'excited ' , 'try ' , 'place ' , 'ala ' , 'inside ' , 'one ' , 'many ' , 'arcade ' , 'around ' , 'area ' , 'place ' , 'like ' , 'torn ' ]"
little hidden away worth search find love cheese wonderful place excellent customer service friendly wonderful,"['little', 'hidden', 'away', 'worth', 'search', 'find', 'love', 'cheese', 'wonderful', 'place', 'excellent', 'customer', 'service', 'friendly', 'wonderful']","[ 'little ' , 'hidden ' , 'away ' , 'worth ' , 'search ' , 'find ' , 'love ' , 'cheese ' , 'wonderful ' , 'place ' , 'excellent ' , 'customer ' , 'service ' , 'friendly ' , 'wonderful ' ]"
visited coffee barker exploring cardiff city center area try afternoon tea ordered afternoon tea 3 hot chocolate,"['visited', 'coffee', 'barker', 'exploring', 'cardiff', 'city', 'center', 'area', 'try', 'afternoon', 'tea', 'ordered', 'afternoon', 'tea', '3', 'hot', 'chocolate']","[ 'visited ' , 'coffee ' , 'barker ' , 'exploring ' , 'cardiff ' , 'city ' , 'center ' , 'area ' , 'try ' , 'afternoon ' , 'tea ' , 'ordered ' , 'afternoon ' , 'tea ' , ' 3 ' , 'hot ' , 'chocolate ' ]"
wonderful coffee shop victorian arcade latte smooth even though table inside full sitting outside heat lamp,"['wonderful', 'coffee', 'shop', 'victorian', 'arcade', 'latte', 'smooth', 'even', 'though', 'table', 'inside', 'full', 'sitting', 'outside', 'heat', 'lamp']","[ 'wonderful ' , 'coffee ' , 'shop ' , 'victorian ' , 'arcade ' , 'latte ' , 'smooth ' , 'even ' , 'though ' , 'table ' , 'inside ' , 'full ' , 'sitting ' , 'outside ' , 'heat ' , 'lamp ' ]"
beautiful cafe city center nice staff reasonably priced definitely recommend,"['beautiful', 'cafe', 'city', 'center', 'nice', 'staff', 'reasonably', 'priced', 'definitely', 'recommend']","[ 'beautiful ' , 'cafe ' , 'city ' , 'center ' , 'nice ' , 'staff ' , 'reasonably ' , 'priced ' , 'definitely ' , 'recommend ' ]"
great service brilliant staff food always good always looking forward returning,"['great', 'service', 'brilliant', 'staff', 'food', 'always', 'good', 'always', 'looking', 'forward', 'returning']","[ 'great ' , 'service ' , 'brilliant ' , 'staff ' , 'food ' , 'always ' , 'good ' , 'always ' , 'looking ' , 'forward ' , 'returning ' ]"
star atmosphere waitstaff food special place cardiff downstairs old bank vault seems like place special meal,"['star', 'atmosphere', 'waitstaff', 'food', 'special', 'place', 'cardiff', 'downstairs', 'old', 'bank', 'vault', 'seems', 'like', 'place', 'special', 'meal']","[ 'star ' , 'atmosphere ' , 'waitstaff ' , 'food ' , 'special ' , 'place ' , 'cardiff ' , 'downstairs ' , 'old ' , 'bank ' , 'vault ' , 'seems ' , 'like ' , 'place ' , 'special ' , 'meal ' ]"
service perfect food average almost every dish extremely salty impossible eat even stake,"['service', 'perfect', 'food', 'average', 'almost', 'every', 'dish', 'extremely', 'salty', 'impossible', 'eat', 'even', 'stake']","[ 'service ' , 'perfect ' , 'food ' , 'average ' , 'almost ' , 'every ' , 'dish ' , 'extremely ' , 'salty ' , 'impossible ' , 'eat ' , 'even ' , 'stake ' ]"
iris prize 2010 iris prize international film competition celebrating short film made lesbiangay queer filmmaker home,"['iris', 'prize', '2010', 'iris', 'prize', 'international', 'film', 'competition', 'celebrating', 'short', 'film', 'made', 'lesbiangay', 'queer', 'filmmaker', 'home']","[ 'iris ' , 'prize ' , '2010 ' , 'iris ' , 'prize ' , 'international ' , 'film ' , 'competition ' , 'celebrating ' , 'short ' , 'film ' , 'made ' , 'lesbiangay ' , 'queer ' , 'filmmaker ' , 'home ' ]"
chapter isnt cinema centre art kind cardiff quirky art display great theatre dance performance comedy night,"['chapter', 'isnt', 'cinema', 'centre', 'art', 'kind', 'cardiff', 'quirky', 'art', 'display', 'great', 'theatre', 'dance', 'performance', 'comedy', 'night']","[ 'chapter ' , 'isnt ' , 'cinema ' , 'centre ' , 'art ' , 'kind ' , 'cardiff ' , 'quirky ' , 'art ' , 'display ' , 'great ' , 'theatre ' , 'dance ' , 'performance ' , 'comedy ' , 'night ' ]"
chapter art centre single entity offer one comprehensive programme event seen outside london comprised cinema,"['chapter', 'art', 'centre', 'single', 'entity', 'offer', 'one', 'comprehensive', 'programme', 'event', 'seen', 'outside', 'london', 'comprised', 'cinema']","[ 'chapter ' , 'art ' , 'centre ' , 'single ' , 'entity ' , 'offer ' , 'one ' , 'comprehensive ' , 'programme ' , 'event ' , 'seen ' , 'outside ' , 'london ' , 'comprised ' , 'cinema ' ]"
definitely recommend traveling country pie look great chicken pot pie stilton cheesebeef,"['definitely', 'recommend', 'traveling', 'country', 'pie', 'look', 'great', 'chicken', 'pot', 'pie', 'stilton', 'cheesebeef']","[ 'definitely ' , 'recommend ' , 'traveling ' , 'country ' , 'pie ' , 'look ' , 'great ' , 'chicken ' , 'pot ' , 'pie ' , 'stilton ' , 'cheesebeef ' ]"
early dinner saturday city center really busy place wasnt packed yet since dinner rush good service food came,"['early', 'dinner', 'saturday', 'city', 'center', 'really', 'busy', 'place', 'wasnt', 'packed', 'yet', 'since', 'dinner', 'rush', 'good', 'service', 'food', 'came']","[ 'early ' , 'dinner ' , 'saturday ' , 'city ' , 'center ' , 'really ' , 'busy ' , 'place ' , 'wasnt ' , 'packed ' , 'yet ' , 'since ' , 'dinner ' , 'rush ' , 'good ' , 'service ' , 'food ' , 'came ' ]"
food awesome overpriced service abysmal due understaffed gave second chance service even worse due,"['food', 'awesome', 'overpriced', 'service', 'abysmal', 'due', 'understaffed', 'gave', 'second', 'chance', 'service', 'even', 'worse', 'due']","[ 'food ' , 'awesome ' , 'overpriced ' , 'service ' , 'abysmal ' , 'due ' , 'understaffed ' , 'gave ' , 'second ' , 'chance ' , 'service ' , 'even ' , 'worse ' , 'due ' ]"
open since 1990 new york deli home kinda sandwich see man v food make shout television could eat,"['open', 'since', '1990', 'new', 'york', 'deli', 'home', 'kinda', 'sandwich', 'see', 'man', 'v', 'food', 'make', 'shout', 'television', 'could', 'eat']","[ 'open ' , 'since ' , '1990 ' , 'new ' , 'york ' , 'deli ' , 'home ' , 'kinda ' , 'sandwich ' , 'see ' , 'man ' , ' v ' , 'food ' , 'make ' , 'shout ' , 'television ' , 'could ' , 'eat ' ]"
food great cant stand sitting shop winter wont close door absolutely freezing inside id love,"['food', 'great', 'cant', 'stand', 'sitting', 'shop', 'winter', 'wont', 'close', 'door', 'absolutely', 'freezing', 'inside', 'id', 'love']","[ 'food ' , 'great ' , 'cant ' , 'stand ' , 'sitting ' , 'shop ' , 'winter ' , 'wont ' , 'close ' , 'door ' , 'absolutely ' , 'freezing ' , 'inside ' , 'id ' , 'love ' ]"
finally managed make new york deli living cardiff year im american always back mind needed,"['finally', 'managed', 'make', 'new', 'york', 'deli', 'living', 'cardiff', 'year', 'im', 'american', 'always', 'back', 'mind', 'needed']","[ 'finally ' , 'managed ' , 'make ' , 'new ' , 'york ' , 'deli ' , 'living ' , 'cardiff ' , 'year ' , 'im ' , 'american ' , 'always ' , 'back ' , 'mind ' , 'needed ' ]"
place fantastic great food service need great night id book popular,"['place', 'fantastic', 'great', 'food', 'service', 'need', 'great', 'night', 'id', 'book', 'popular']","[ 'place ' , 'fantastic ' , 'great ' , 'food ' , 'service ' , 'need ' , 'great ' , 'night ' , 'id ' , 'book ' , 'popular ' ]"
cafe citta tiny little restaurant tucked away inconspicuous didnt extensive foodie research might end missing,"['cafe', 'citta', 'tiny', 'little', 'restaurant', 'tucked', 'away', 'inconspicuous', 'didnt', 'extensive', 'foodie', 'research', 'might', 'end', 'missing']","[ 'cafe ' , 'citta ' , 'tiny ' , 'little ' , 'restaurant ' , 'tucked ' , 'away ' , 'inconspicuous ' , 'didnt ' , 'extensive ' , 'foodie ' , 'research ' , 'might ' , 'end ' , 'missing ' ]"
cardiff work trip new york stumbled upon little gem italian wine bar super cute lovely warm ambience well,"['cardiff', 'work', 'trip', 'new', 'york', 'stumbled', 'upon', 'little', 'gem', 'italian', 'wine', 'bar', 'super', 'cute', 'lovely', 'warm', 'ambience', 'well']","[ 'cardiff ' , 'work ' , 'trip ' , 'new ' , 'york ' , 'stumbled ' , 'upon ' , 'little ' , 'gem ' , 'italian ' , 'wine ' , 'bar ' , 'super ' , 'cute ' , 'lovely ' , 'warm ' , 'ambience ' , 'well ' ]"
large place welcome tourist carne pizza amazing tinge spice flavor meddled together make solid pizza,"['large', 'place', 'welcome', 'tourist', 'carne', 'pizza', 'amazing', 'tinge', 'spice', 'flavor', 'meddled', 'together', 'make', 'solid', 'pizza']","[ 'large ' , 'place ' , 'welcome ' , 'tourist ' , 'carne ' , 'pizza ' , 'amazing ' , 'tinge ' , 'spice ' , 'flavor ' , 'meddled ' , 'together ' , 'make ' , 'solid ' , 'pizza ' ]"
ordered pulled pork pizza understand dish spicy eat spicy food sometimes uncomfortable cant,"['ordered', 'pulled', 'pork', 'pizza', 'understand', 'dish', 'spicy', 'eat', 'spicy', 'food', 'sometimes', 'uncomfortable', 'cant']","[ 'ordered ' , 'pulled ' , 'pork ' , 'pizza ' , 'understand ' , 'dish ' , 'spicy ' , 'eat ' , 'spicy ' , 'food ' , 'sometimes ' , 'uncomfortable ' , 'cant ' ]"
happened upon place chance drove early morning noticed brewing kit first thought micro,"['happened', 'upon', 'place', 'chance', 'drove', 'early', 'morning', 'noticed', 'brewing', 'kit', 'first', 'thought', 'micro']","[ 'happened ' , 'upon ' , 'place ' , 'chance ' , 'drove ' , 'early ' , 'morning ' , 'noticed ' , 'brewing ' , 'kit ' , 'first ' , 'thought ' , 'micro ' ]"
top notch tagine cardiff mezza luna came recommended fellow yelpers delight wait staff server charming helpful,"['top', 'notch', 'tagine', 'cardiff', 'mezza', 'luna', 'came', 'recommended', 'fellow', 'yelpers', 'delight', 'wait', 'staff', 'server', 'charming', 'helpful']","[ 'top ' , 'notch ' , 'tagine ' , 'cardiff ' , 'mezza ' , 'luna ' , 'came ' , 'recommended ' , 'fellow ' , 'yelpers ' , 'delight ' , 'wait ' , 'staff ' , 'server ' , 'charming ' , 'helpful ' ]"
friendly staff great food reasonable price aubergine chicken apricot seafood tagines one tasty smoked aubergine,"['friendly', 'staff', 'great', 'food', 'reasonable', 'price', 'aubergine', 'chicken', 'apricot', 'seafood', 'tagines', 'one', 'tasty', 'smoked', 'aubergine']","[ 'friendly ' , 'staff ' , 'great ' , 'food ' , 'reasonable ' , 'price ' , 'aubergine ' , 'chicken ' , 'apricot ' , 'seafood ' , 'tagines ' , 'one ' , 'tasty ' , 'smoked ' , 'aubergine ' ]"
